ID,Raw,Date,Data,Excel Date,
1128,"3rd November 2011 @ Bowery Ballroom, New York, NY, USA",3rd November 2011 ," Bowery Ballroom, New York, NY, USA",03/11/2011,
1129,"4th November 2011 @ WXPN Live At Noon, Philadelphia, PA, USA",4th November 2011 ," WXPN Live At Noon, Philadelphia, PA, USA",04/11/2011,
1130,"4th November 2011 @ Theater Of Living Arts, Philadelphia, PA, USA",4th November 2011 ," Theater Of Living Arts, Philadelphia, PA, USA",04/11/2011,
1131,"10th November 2011 @ AIM Music Awards, London, UK",10th November 2011 ," AIM Music Awards, London, UK",10/11/2011,
1132,"15th November 2011 @ The Melkweg, Amsterdam, Netherlands",15th November 2011 ," The Melkweg, Amsterdam, Netherlands",15/11/2011,
1133,"16th November 2011 @ Faust, Hannover, Germany",16th November 2011 ," Faust, Hannover, Germany",16/11/2011,
1134,"17th November 2011 @ Sputnikhalle, Munster, Germany",17th November 2011 ," Sputnikhalle, Munster, Germany",17/11/2011,
1135,"18th November 2011 @ Crossing Border Festival, Den Haag, Netherlands",18th November 2011 ," Crossing Border Festival, Den Haag, Netherlands",18/11/2011,
1136,"18th November 2011 @ Crossing Border Festival, Den Haag, Netherlands",18th November 2011 ," Crossing Border Festival, Den Haag, Netherlands",18/11/2011,
1137,"19th November 2011 @ Crossing Border Festival, Antwerp, Belgium",19th November 2011 ," Crossing Border Festival, Antwerp, Belgium",19/11/2011,
1138,"22nd November 2011 @ The Academy, Bournemouth, UK",22nd November 2011 ," The Academy, Bournemouth, UK",22/11/2011,
1139,"23rd November 2011 @ Newport Centre, Newport, UK",23rd November 2011 ," Newport Centre, Newport, UK",23/11/2011,
1140,"24th November 2011 @ The Academy, Birmingham, UK",24th November 2011 ," The Academy, Birmingham, UK",24/11/2011,
1141,"25th November 2011 @ The Barrowlands, Glasgow, UK",25th November 2011 ," The Barrowlands, Glasgow, UK",25/11/2011,
1142,"26th November 2011 @ The Apollo, Manchester, UK",26th November 2011 ," The Apollo, Manchester, UK",26/11/2011,
1143,"27th November 2011 @ The Hammersmith Apollo, London, UK",27th November 2011 ," The Hammersmith Apollo, London, UK",27/11/2011,
1144,"29th November 2011 @ E-Werk, Koln, Germany",29th November 2011 ," E-Werk, Koln, Germany",29/11/2011,
1145,"30th November 2011 @ Wagenhallen, Stuttgart, Germany",30th November 2011 ," Wagenhallen, Stuttgart, Germany",30/11/2011,
1146,"1st December 2011 @ Backstage Halle, Munich, Germany",1st December 2011 ," Backstage Halle, Munich, Germany",01/12/2011,
1147,"2nd December 2011 @ Postbahnhof, Berlin, Germany",2nd December 2011 ," Postbahnhof, Berlin, Germany",02/12/2011,
1148,"3rd December 2011 @ Other Voices, Dingle, Ireland",3rd December 2011 ," Other Voices, Dingle, Ireland",03/12/2011,
1149,"4th December 2011 @ Fabrik, Hamburg, Germany",4th December 2011 ," Fabrik, Hamburg, Germany",04/12/2011,
1150,"5th December 2011 @ Mau Club, Rostock, Germany",5th December 2011 ," Mau Club, Rostock, Germany",05/12/2011,
1151,"7th December 2011 @ Divan Du Monde, Paris, France",7th December 2011 ," Divan Du Monde, Paris, France",07/12/2011,
1152,"8th December 2011 @ Schuur, Luzern, Switzerland",8th December 2011 ," Schuur, Luzern, Switzerland",08/12/2011,
1153,"9th December 2011 @ Ringlockschuppen, Bielefeld, Germany",9th December 2011 ," Ringlockschuppen, Bielefeld, Germany",09/12/2011,
1154,"10th December 2011 @ Messepark, Trier, Germany",10th December 2011 ," Messepark, Trier, Germany",10/12/2011,
1155,"11th December 2011 @ Schlachthof, Dresden, Germany",11th December 2011 ," Schlachthof, Dresden, Germany",11/12/2011,
1156,"13th December 2011 @ Club Meskalina, Poznan, Poland",13th December 2011 ," Club Meskalina, Poznan, Poland",13/12/2011,
1157,"14th December 2011 @ Powiekszenie, Warsaw, Poland",14th December 2011 ," Powiekszenie, Warsaw, Poland",14/12/2011,
1158,"16th December 2011 @ Bronson, Ravenna, Italy",16th December 2011 ," Bronson, Ravenna, Italy",16/12/2011,
1159,"17th December 2011 @ Abart, Zurich, Switzerland",17th December 2011 ," Abart, Zurich, Switzerland",17/12/2011,
1160,"18th December 2011 @ WuK, Vienna, Austria",18th December 2011 ," WuK, Vienna, Austria",18/12/2011,
1161,"19th December 2011 @ PPC, Graz, Austria",19th December 2011 ," PPC, Graz, Austria",19/12/2011,
1162,"20th December 2011 @ Karlstorbahnhof, Heidelberg, Germany",20th December 2011 ," Karlstorbahnhof, Heidelberg, Germany",20/12/2011,
1163,"10th January 2012 @ NME Offices, Southwark, London, UK",10th January 2012 ," NME Offices, Southwark, London, UK",10/01/2012,
1164,"27th January 2012 @ The Joint, Las Vegas, NV, USA",27th January 2012 ," The Joint, Las Vegas, NV, USA",27/01/2012,
1165,"28th January 2012 @ The Orpheum, Flagstaff, AZ, USA",28th January 2012 ," The Orpheum, Flagstaff, AZ, USA",28/01/2012,
1166,"29th January 2012 @ Velvet Jones, Santa Barbara, CA, USA",29th January 2012 ," Velvet Jones, Santa Barbara, CA, USA",29/01/2012,
1167,"31st January 2012 @ The Sunshine Theater, Albuquerque, NM, USA",31st January 2012 ," The Sunshine Theater, Albuquerque, NM, USA",31/01/2012,
1168,"1st February 2012 @ The Rialto Theater, Tucson, AZ, USA",1st February 2012 ," The Rialto Theater, Tucson, AZ, USA",01/02/2012,
1169,"2nd February 2012 @ Tricky Falls, El Paso, TX, USA",2nd February 2012 ," Tricky Falls, El Paso, TX, USA",02/02/2012,
1170,"3rd February 2012 @ The Marquee Theater, Tempe, AZ, USA",3rd February 2012 ," The Marquee Theater, Tempe, AZ, USA",03/02/2012,
1171,"4th February 2012 @ The Marquee Theater, Tempe, AZ, USA",4th February 2012 ," The Marquee Theater, Tempe, AZ, USA",04/02/2012,
1172,"5th February 2012 @ SLO Downtown Brewery, San Luis Obispo, CA, USA",5th February 2012 ," SLO Downtown Brewery, San Luis Obispo, CA, USA",05/02/2012,
1173,"7th February 2012 @ Blue Lamp, Sacramento, CA, USA",7th February 2012 ," Blue Lamp, Sacramento, CA, USA",07/02/2012,
1174,"8th February 2012 @ Thee Parkside, San Francisco, CA, USA",8th February 2012 ," Thee Parkside, San Francisco, CA, USA",08/02/2012,
1175,"9th February 2012 @ Civic Auditorium, Santa Cruz, CA, USA",9th February 2012 ," Civic Auditorium, Santa Cruz, CA, USA",09/02/2012,
1176,"10th February 2012 @ Fox Theater, Oakland, CA, USA",10th February 2012 ," Fox Theater, Oakland, CA, USA",10/02/2012,
1177,"11th February 2012 @ Fox Theater, Oakland, CA, USA",11th February 2012 ," Fox Theater, Oakland, CA, USA",11/02/2012,
1178,"12th February 2012 @ John Henry’s, Eugene, OR, USA",12th February 2012 ," John Henry’s, Eugene, OR, USA",12/02/2012,
1179,"13th February 2012 @ Senator Theater, Chico, CA, USA",13th February 2012 ," Senator Theater, Chico, CA, USA",13/02/2012,
1180,"14th February 2012 @ Center Plaza, Modesto, CA, USA",14th February 2012 ," Center Plaza, Modesto, CA, USA",14/02/2012,
1181,"15th February 2012 @ The Slide Bar, Fullerton, CA, USA",15th February 2012 ," The Slide Bar, Fullerton, CA, USA",15/02/2012,
1182,"16th February 2012 @ The Majestic Theater, Ventura, CA, USA",16th February 2012 ," The Majestic Theater, Ventura, CA, USA",16/02/2012,
1183,"18th February 2012 @ The Fox Theater, Pomona, CA, USA",18th February 2012 ," The Fox Theater, Pomona, CA, USA",18/02/2012,
1184,"21st February 2012 @ Off Broadway, St Louis, MO, USA",21st February 2012 ," Off Broadway, St Louis, MO, USA",21/02/2012,
1185,"22nd February 2012 @ Outland Live, Columbus, OH, USA",22nd February 2012 ," Outland Live, Columbus, OH, USA",22/02/2012,
1186,"23rd February 2012 @ The Egyptian Room, Indianapolis, IN, USA",23rd February 2012 ," The Egyptian Room, Indianapolis, IN, USA",23/02/2012,
1187,"24th February 2012 @ The Castle Theater, Bloomington, IL, USA",24th February 2012 ," The Castle Theater, Bloomington, IL, USA",24/02/2012,
1188,"25th February 2012 @ First Avenue, Minneapolis, MN, USA",25th February 2012 ," First Avenue, Minneapolis, MN, USA",25/02/2012,
1189,"27th February 2012 @ House Of Blues, Dallas, TX, USA",27th February 2012 ," House Of Blues, Dallas, TX, USA",27/02/2012,
1190,"28th February 2012 @ House Of Blues, Houston, TX, USA",28th February 2012 ," House Of Blues, Houston, TX, USA",28/02/2012,
1191,"29th February 2012 @ Emo’s East, Austin, TX, USA",29th February 2012 ," Emo’s East, Austin, TX, USA",29/02/2012,
1192,"1st March 2012 @ House Of Blues, New Orleans, LA, USA",1st March 2012 ," House Of Blues, New Orleans, LA, USA",01/03/2012,
1193,"3rd March 2012 @ Pompano Beach Amphitheater, Pompano, FL, USA",3rd March 2012 ," Pompano Beach Amphitheater, Pompano, FL, USA",03/03/2012,
1194,"4th March 2012 @ House Of Blues, Orlando, FL, USA",4th March 2012 ," House Of Blues, Orlando, FL, USA",04/03/2012,
1195,"5th March 2012 @ Ritz Ybor, Tampa, FL, USA",5th March 2012 ," Ritz Ybor, Tampa, FL, USA",05/03/2012,
1196,"6th March 2012 @ The Tabernacle, Atlanta, GA, USA",6th March 2012 ," The Tabernacle, Atlanta, GA, USA",06/03/2012,
1197,"7th March 2012 @ Marathon Music Works, Nashville, TN, USA",7th March 2012 ," Marathon Music Works, Nashville, TN, USA",07/03/2012,
1198,"9th March 2012 @ House Of Blues, Atlantic City, NJ, USA",9th March 2012 ," House Of Blues, Atlantic City, NJ, USA",09/03/2012,
1199,"10th March 2012 @ Mohegan Sun Arena, Uncasville, CT, USA",10th March 2012 ," Mohegan Sun Arena, Uncasville, CT, USA",10/03/2012,
1200,"11th March 2012 @ Paramount Theater, Huntington, NY, USA",11th March 2012 ," Paramount Theater, Huntington, NY, USA",11/03/2012,
1201,"12th March 2012 @ The Knitting Factory, Brooklyn, NY, USA",12th March 2012 ," The Knitting Factory, Brooklyn, NY, USA",12/03/2012,
1202,"13th March 2012 @ Latitude 30, Austin, TX, USA",13th March 2012 ," Latitude 30, Austin, TX, USA",13/03/2012,
1203,"14th March 2012 @ Latitude 30, Austin, TX, USA",14th March 2012 ," Latitude 30, Austin, TX, USA",14/03/2012,
1204,"15th March 2012 @ House Of Blues, Boston, MA, USA",15th March 2012 ," House Of Blues, Boston, MA, USA",15/03/2012,
1205,"16th March 2012 @ House Of Blues, Boston, MA, USA",16th March 2012 ," House Of Blues, Boston, MA, USA",16/03/2012,
1206,"17th March 2012 @ Tsongas Arena, Lowell, MA, USA",17th March 2012 ," Tsongas Arena, Lowell, MA, USA",17/03/2012,
1207,"17th March 2012 @ Tsongas Arena, Lowell, MA, USA",17th March 2012 ," Tsongas Arena, Lowell, MA, USA",17/03/2012,
1208,"18th March 2012 @ Wonder Bar, Asbury Park, NJ, USA",18th March 2012 ," Wonder Bar, Asbury Park, NJ, USA",18/03/2012,
1209,"30th March 2012 @ Muziekodroom, Hasselt, Belgium",30th March 2012 ," Muziekodroom, Hasselt, Belgium",30/03/2012,
1210,"31st March 2012 @ Bierhubeli, Bern, Switzerland",31st March 2012 ," Bierhubeli, Bern, Switzerland",31/03/2012,
1211,"1st April 2012 @ Unionhalle, Frankfurt, Germany",1st April 2012 ," Unionhalle, Frankfurt, Germany",01/04/2012,
1212,"2nd April 2012 @ Backstage Werk, Munich, Germany",2nd April 2012 ," Backstage Werk, Munich, Germany",02/04/2012,
1213,"3rd April 2012 @ The Garage, Saarbrucken, Germany",3rd April 2012 ," The Garage, Saarbrucken, Germany",03/04/2012,
1214,"4th April 2012 @ Rockhal, Luxembourg",4th April 2012 ," Rockhal, Luxembourg",04/04/2012,
1215,"5th April 2012 @ The Paradiso, Amsterdam, Netherlands",5th April 2012 ," The Paradiso, Amsterdam, Netherlands",05/04/2012,
1216,"13th April 2012 @ Wembley Arena, London, UK",13th April 2012 ," Wembley Arena, London, UK",13/04/2012,
1217,"18th April 2012 @ MacEwan Ballroom, Calgary, AB, Canada",18th April 2012 ," MacEwan Ballroom, Calgary, AB, Canada",18/04/2012,
1218,"19th April 2012 @ Winnspear Theater, Edmonton, AB, Canada",19th April 2012 ," Winnspear Theater, Edmonton, AB, Canada",19/04/2012,
1219,"20th April 2012 @ Louis Pub, Saskatoon, SK, Canada",20th April 2012 ," Louis Pub, Saskatoon, SK, Canada",20/04/2012,
1220,"21st April 2012 @ The Garrick Center, Winnipeg, MB, Canada",21st April 2012 ," The Garrick Center, Winnipeg, MB, Canada",21/04/2012,
1221,"23rd April 2012 @ The Venue, Vancouver, BC, Canada",23rd April 2012 ," The Venue, Vancouver, BC, Canada",23/04/2012,
1222,"25th April 2012 @ The Corona Theatre, Montreal, QC, Canada",25th April 2012 ," The Corona Theatre, Montreal, QC, Canada",25/04/2012,
1223,"26th April 2012 @ The Bronson Center, Ottawa, ON, Canada",26th April 2012 ," The Bronson Center, Ottawa, ON, Canada",26/04/2012,
1224,"27th April 2012 @ The Brock Theatre, St Catherines, ON, Canada",27th April 2012 ," The Brock Theatre, St Catherines, ON, Canada",27/04/2012,
1225,"3rd May 2012 @ The Railway Club, Darwin, NT, Australia",3rd May 2012 ," The Railway Club, Darwin, NT, Australia",03/05/2012,
1226,"4th May 2012 @ Wide Open Space Festival, Alice Springs, NT, Australia",4th May 2012 ," Wide Open Space Festival, Alice Springs, NT, Australia",04/05/2012,
1227,"5th May 2012 @ The Jack, Cairns, QLD, Australia",5th May 2012 ," The Jack, Cairns, QLD, Australia",05/05/2012,
1228,"6th May 2012 @ Grooving The Moo Festival, Townsville, QLD, Australia",6th May 2012 ," Grooving The Moo Festival, Townsville, QLD, Australia",06/05/2012,
1229,"9th May 2012 @ Amplifier, Perth, WA, Australia",9th May 2012 ," Amplifier, Perth, WA, Australia",09/05/2012,
1230,"10th May 2012 @ The Espy, Melbourne, VIC, Australia",10th May 2012 ," The Espy, Melbourne, VIC, Australia",10/05/2012,
1231,"11th May 2012 @ Fowlers, Adelaide, SA, Australia",11th May 2012 ," Fowlers, Adelaide, SA, Australia",11/05/2012,
1232,"12th May 2012 @ Manning Bar, Sydney, NSW, Australia",12th May 2012 ," Manning Bar, Sydney, NSW, Australia",12/05/2012,
1233,"13th May 2012 @ The Zoo, Brisbane, QLD, Australia",13th May 2012 ," The Zoo, Brisbane, QLD, Australia",13/05/2012,
1234,"15th May 2012 @ Kings Arms Tavern, Auckland, New Zealand",15th May 2012 ," Kings Arms Tavern, Auckland, New Zealand",15/05/2012,
1235,"18th May 2012 @ Queen Elizabeth Theater, Toronto, ON, Canada",18th May 2012 ," Queen Elizabeth Theater, Toronto, ON, Canada",18/05/2012,
1236,"19th May 2012 @ Queen Elizabeth Theater, Toronto, ON, Canada",19th May 2012 ," Queen Elizabeth Theater, Toronto, ON, Canada",19/05/2012,
1237,"6th June 2012 @ Hay Festival, Hay-On-Wye, UK",6th June 2012 ," Hay Festival, Hay-On-Wye, UK",06/06/2012,
1238,"14th June 2012 @ Hultsfred Festival, Sweden",14th June 2012 ," Hultsfred Festival, Sweden",14/06/2012,
1239,"16th June 2012 @ Azkena Rock Festival, Vitoria, Spain",16th June 2012 ," Azkena Rock Festival, Vitoria, Spain",16/06/2012,
1240,"22nd June 2012 @ Danube Island Festival, Vienna, Austria",22nd June 2012 ," Danube Island Festival, Vienna, Austria",22/06/2012,
1241,"23rd June 2012 @ Southside Festival, Germany",23rd June 2012 ," Southside Festival, Germany",23/06/2012,
1242,"24th June 2012 @ Hurricane Festival, Germany",24th June 2012 ," Hurricane Festival, Germany",24/06/2012,
1243,"1st July 2012 @ Eden Session, The Eden Project, Cornwall, UK",1st July 2012 ," Eden Session, The Eden Project, Cornwall, UK",01/07/2012,
1244,"7th July 2012 @ The Hub, Darlington, UK",7th July 2012 ," The Hub, Darlington, UK",07/07/2012,
1245,"8th July 2012 @ T in the Park Festival, UK",8th July 2012 ," T in the Park Festival, UK",08/07/2012,
1246,"13th July 2012 @ Dirty Old Festival, Pozega, Croatia",13th July 2012 ," Dirty Old Festival, Pozega, Croatia",13/07/2012,
1247,"14th July 2012 @ Gurtenfestival, Bern, Switzerland",14th July 2012 ," Gurtenfestival, Bern, Switzerland",14/07/2012,
1248,"15th July 2012 @ Mighty Sounds Festival, Tabor, Czech Republic",15th July 2012 ," Mighty Sounds Festival, Tabor, Czech Republic",15/07/2012,
1249,"19th July 2012 @ Slottsfjell Festival, Tonsberg, Norway",19th July 2012 ," Slottsfjell Festival, Tonsberg, Norway",19/07/2012,
1250,"21st July 2012 @ Rock In Idhro Festival, Milan, Italy",21st July 2012 ," Rock In Idhro Festival, Milan, Italy",21/07/2012,
1251,"22nd July 2012 @ Devilside Festival, Oberhausen, Germany",22nd July 2012 ," Devilside Festival, Oberhausen, Germany",22/07/2012,
1252,"23rd July 2012 @ Olympic Opening Ceremony Rehearsal, London, UK",23rd July 2012 ," Olympic Opening Ceremony Rehearsal, London, UK",23/07/2012,
1253,"25th July 2012 @ Olympic Opening Ceremony Rehearsal, London, UK",25th July 2012 ," Olympic Opening Ceremony Rehearsal, London, UK",25/07/2012,
1254,"27th July 2012 @ Olympic Opening Ceremony, London, UK",27th July 2012 ," Olympic Opening Ceremony, London, UK",27/07/2012,
1255,"16th August 2012 @ Cheese & Grain, Frome, UK",16th August 2012 ," Cheese & Grain, Frome, UK",16/08/2012,
1256,"17th August 2012 @ Strummer Of Love Festival, Somerset, UK",17th August 2012 ," Strummer Of Love Festival, Somerset, UK",17/08/2012,
1257,"17th August 2012 @ Beautiful Days Festival, Devon, UK",17th August 2012 ," Beautiful Days Festival, Devon, UK",17/08/2012,
1258,"18th August 2012 @ V Festival, Stafford, UK",18th August 2012 ," V Festival, Stafford, UK",18/08/2012,
1259,"19th August 2012 @ V Festival, Chelmsford, UK",19th August 2012 ," V Festival, Chelmsford, UK",19/08/2012,
1260,"20th August 2012 @ The Roundhouse, Camden, London, UK",20th August 2012 ," The Roundhouse, Camden, London, UK",20/08/2012,
1261,"6th September 2012 @ The Royale, Boston, MA, USA",6th September 2012 ," The Royale, Boston, MA, USA",06/09/2012,
1262,"7th September 2012 @ TT The Bears, Cambridge MA, USA",7th September 2012 ," TT The Bears, Cambridge MA, USA",07/09/2012,
1263,"7th September 2012 @ The Royale, Boston, MA, USA",7th September 2012 ," The Royale, Boston, MA, USA",07/09/2012,
1264,"8th September 2012 @ Festival Pier, Penn’s Landing, Philadelphia, PA, USA",8th September 2012 ," Festival Pier, Penn’s Landing, Philadelphia, PA, USA",08/09/2012,
1265,"10th September 2012 @ Mr Smalls, Millvale, PA, USA",10th September 2012 ," Mr Smalls, Millvale, PA, USA",10/09/2012,
1266,"11th September 2012 @ St Andrews Hall, Detroit, MI, USA",11th September 2012 ," St Andrews Hall, Detroit, MI, USA",11/09/2012,
1267,"12th September 2012 @ The Grog Shop, Cleveland, OH, USA",12th September 2012 ," The Grog Shop, Cleveland, OH, USA",12/09/2012,
1268,"14th September 2012 @ Cobra Lounge, Chicago, IL, USA",14th September 2012 ," Cobra Lounge, Chicago, IL, USA",14/09/2012,
1269,"15th September 2012 @ Riotfest, Chicago, IL, USA",15th September 2012 ," Riotfest, Chicago, IL, USA",15/09/2012,
1270,"16th September 2012 @ Varsity Theater, Minneapolis, MN, USA",16th September 2012 ," Varsity Theater, Minneapolis, MN, USA",16/09/2012,
1271,"17th September 2012 @ Granada Theater, Lawrence, KS, USA",17th September 2012 ," Granada Theater, Lawrence, KS, USA",17/09/2012,
1272,"18th September 2012 @ Summit Music Hall, Denver, CO, USA",18th September 2012 ," Summit Music Hall, Denver, CO, USA",18/09/2012,
1273,"20th September 2012 @ House Of Blues, Anaheim, CA, USA",20th September 2012 ," House Of Blues, Anaheim, CA, USA",20/09/2012,
1274,"21st September 2012 @ Crescent Ballroom, Phoenix, AZ, USA",21st September 2012 ," Crescent Ballroom, Phoenix, AZ, USA",21/09/2012,
1275,"22nd September 2012 @ Launchpad, Albuquerque, NM, USA",22nd September 2012 ," Launchpad, Albuquerque, NM, USA",22/09/2012,
